City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Coldwater,US,2020-06-17 05:12:35,41.94,-85.0,292.15,63,1,2.1
134,Luwuk,ID,2020-06-17 05:12:35,-0.95,122.79,301.94,73,94,3.86
135,Cockburn Town,TC,2020-06-17 05:12:36,21.46,-71.14,301.06,81,100,9.8
136,Laguna,US,2020-06-17 05:12:36,38.42,-121.42,294.26,55,1,2.6
137,Thompson,CA,2020-06-17 05:12:36,55.74,-97.86,291.15,52,75,1.18
138,Maldonado,UY,2020-06-17 05:12:36,-34.67,-54.92,294.26,93,80,2.6
139,Rio Negrinho,BR,2020-06-17 05:12:37,-26.25,-49.52,285.93,95,97,1.79
140,Pangai,TO,2020-06-17 05:12:37,-19.8,-174.35,297.15,73,20,9.3
141,Ulladulla,AU,2020-06-17 05:12:38,-35.35,150.47,287.59,71,75,6.7
142,Namibe,AO,2020-06-17 05:12:38,-15.2,12.15,294.63,54,0,2.43
143,Ribeira Grande,PT,2020-06-17 05:12:38,38.52,-28.7,291.41,87,66,7.62
144,Petropavlovsk-Kamchatskiy,RU,2020-06-17 05:12:12,53.05,158.65,285.15,66,4,8.0
145,Terrak,NO,2020-06-17 05:12:38,65.09,12.37,289.15,77,57,2.1
146,Tyulgan,RU,2020-06-17 05:12:39,52.34,56.17,293.91,60,0,2.98
147,Kaitangata,NZ,2020-06-17 05:12:39,-46.28,169.85,279.82,81,100,0.89
148,Manzhouli,CN,2020-06-17 05:12:39,49.6,117.43,302.34,27,60,3.99
149,Maragogi,BR,2020-06-17 05:12:39,-9.01,-35.22,297.02,87,17,5.24
150,Geraldton,AU,2020-06-17 05:12:39,-28.77,114.6,296.15,60,40,9.8
151,Jasper,US,2020-06-17 05:12:40,37.2,-94.35,297.15,69,1,3.6
152,Gelgaudiskis,LT,2020-06-17 05:12:40,55.08,22.98,290.99,83,0,1.84
153,Victoria,HK,2020-06-17 05:12:05,22.29,114.16,305.37,72,0,2.68
154,San Isidro,PE,2020-06-17 05:12:40,-12.12,-77.05,291.15,77,90,5.7
155,Sainte-Suzanne,RE,2020-06-17 05:12:40,-20.91,55.61,296.15,53,3,2.1
156,Ca Mau,VN,2020-06-17 05:12:16,9.18,105.15,305.49,60,72,2.55
157,Barrow,US,2020-06-17 05:12:41,71.29,-156.79,277.15,80,1,7.7
158,Bodden Town,KY,2020-06-17 05:12:41,19.28,-81.25,300.37,86,89,7.6
159,Fortuna,US,2020-06-17 05:12:41,40.6,-124.16,286.48,87,75,4.6
160,Nabire,ID,2020-06-17 05:12:41,-3.37,135.48,303.89,55,71,2.14
161,Najran,SA,2020-06-17 05:12:42,17.49,44.13,301.15,17,0,1.95
162,Alofi,NU,2020-06-17 05:08:51,-19.06,-169.92,297.15,60,74,8.2
163,Kadnikov,RU,2020-06-17 05:12:42,59.5,40.34,288.26,94,68,3.57
164,Maralal,KE,2020-06-17 05:12:42,1.1,36.7,288.88,83,27,1.54
165,Beringovskiy,RU,2020-06-17 05:12:43,63.05,179.32,282.16,66,30,0.97
166,Nikolskoye,RU,2020-06-17 05:12:43,59.7,30.79,295.15,73,39,2.0
167,Dubinino,RU,2020-06-17 05:12:43,55.62,89.09,290.22,58,0,5.28
168,Port Hueneme,US,2020-06-17 05:12:43,34.15,-119.2,290.37,77,1,1.5
169,Roma,US,2020-06-17 05:12:43,43.21,-75.46,287.59,71,1,1.69
170,Komsomolskiy,UZ,2020-06-17 05:12:44,40.43,71.72,300.15,18,76,7.2
171,Klaksvik,FO,2020-06-17 05:12:44,62.23,-6.59,282.15,87,100,8.7
172,Yeppoon,AU,2020-06-17 05:12:44,-23.13,150.73,296.15,60,90,7.2
173,Leningradskiy,RU,2020-06-17 05:12:44,69.38,178.42,284.89,52,49,4.79
174,Fakse,DK,2020-06-17 05:12:44,55.25,12.12,291.48,87,8,1.0
175,Bataipora,BR,2020-06-17 05:12:45,-22.3,-53.27,291.28,83,0,3.1
176,Nanga Eboko,CM,2020-06-17 05:12:45,4.68,12.37,293.88,97,100,1.58
177,Lichinga,MZ,2020-06-17 05:12:45,-13.31,35.24,283.15,87,40,7.2
178,Tautira,PF,2020-06-17 05:12:45,-17.73,-149.15,300.93,83,75,2.6
