City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rainfall over last hr (inches),Snowfall over last hr (inches)
105,Saint Anthony,US,45.02,-93.22,72.0,53,40,6.93,light rain,0.2,0.0
106,Ibicui,BR,-14.84,-39.99,71.01,79,9,5.64,clear sky,0.0,0.0
107,Kargasok,RU,59.06,80.86,42.55,65,73,10.18,broken clouds,0.0,0.0
108,Cayenne,GF,4.93,-52.33,84.2,70,51,5.82,light rain,0.6,0.0
109,East London,ZA,-33.02,27.91,68.38,31,0,8.59,clear sky,0.0,0.0
110,Zile,TR,40.3,35.89,66.2,72,75,6.93,broken clouds,0.0,0.0
111,Campoverde,PE,-8.48,-74.81,87.8,62,75,4.7,broken clouds,0.0,0.0
112,Sayyan,YE,15.17,44.32,67.6,52,0,2.08,clear sky,0.0,0.0
113,Filadelfia,US,39.95,-75.16,86.0,61,75,6.93,thunderstorm,0.0,0.0
114,Miraflores,MX,19.22,-98.81,78.01,36,90,6.93,overcast clouds,0.0,0.0
115,Bridlington,GB,54.08,-0.19,66.2,68,0,6.93,clear sky,0.0,0.0
116,Mansa,IN,29.98,75.38,98.33,20,62,1.92,broken clouds,0.0,0.0
117,Sinnamary,GF,5.38,-52.95,81.0,83,69,9.28,light rain,0.2,0.0
118,Oranjemund,NA,-28.55,16.43,58.62,86,38,2.13,scattered clouds,0.0,0.0
119,Lebu,CL,-37.62,-73.65,53.73,85,51,17.11,light rain,0.9,0.0
120,Chapais,CA,49.78,-74.85,84.2,45,1,3.36,clear sky,0.0,0.0
121,Bull Savanna,JM,17.89,-77.59,84.94,65,1,18.81,clear sky,0.0,0.0
122,Elat,IL,29.56,34.95,89.6,31,0,16.11,clear sky,0.0,0.0
123,Puerto Leguizamo,CO,-0.19,-74.78,77.47,87,87,2.17,overcast clouds,0.0,0.0
124,Bonavista,CA,48.65,-53.11,43.93,71,66,9.84,broken clouds,0.0,0.0
125,Yanam,IN,16.73,82.22,81.61,80,97,7.11,overcast clouds,0.0,0.0
126,Cozumel,MX,20.51,-86.95,89.01,70,40,13.87,scattered clouds,0.0,0.0
127,Coihaique,CL,-45.58,-72.07,41.0,86,75,5.82,light rain,0.0,0.0
128,Bambous Virieux,MU,-20.34,57.76,72.0,73,40,16.11,scattered clouds,0.0,0.0
129,Roald,NO,62.58,6.13,64.99,77,100,4.7,overcast clouds,0.0,0.0
130,San Cristobal,VE,7.77,-72.22,87.8,48,40,25.28,scattered clouds,0.0,0.0
131,Saint-Philippe,RE,-21.36,55.77,68.0,77,72,9.17,light rain,0.1,0.0
132,Vestmanna,FO,62.16,-7.17,51.8,100,5,9.17,clear sky,0.0,0.0
133,Awjilah,LY,29.11,21.29,93.72,11,0,5.23,clear sky,0.0,0.0
134,Funtua,NG,11.52,7.31,76.77,63,43,12.24,scattered clouds,0.0,0.0
135,Mandera,KE,3.94,41.87,84.2,49,39,18.7,scattered clouds,0.0,0.0
